	A549 cells, DMSO, 24h, rep1	A549 cells, DMSO, 24h, rep2	A549 cells, DMSO, 24h, rep3	A549 cells, RSL3, 24h, rep1	A549 cells, RSL3, 24h, rep2	A549 cells, RSL3, 24h, rep3	A549 cells, RSL3 and Fer-1, 24h, rep1	A549 cells, RSL3 and Fer-1, 24h, rep2	A549 cells, RSL3 and Fer-1, 24h, rep3
MICB	0.16253471022578572	-1.920721856025539	-1.9214176870622146	-1.922319508718258	-1.9241779197814324	-1.1551952412296431	-1.9158285376992241	-1.9032999944538531	-0.12233489915270013
MICB	-1.9242352471785058	-1.920721856025539	-1.9214176870622146	-0.19514952598681481	-0.5287388128941347	-1.9274003973620784	-0.8341347591642122	-0.364834804699516	-1.9159710899475262
MICB	1.0466271167893808	1.0573043238348496	1.0221524261122101	1.0856778383135273	1.0830043666026745	1.0820938463586243	1.0878534648490639	1.0782221617666858	1.0073299085053122
MOAP1	0.44606672225350613	0.5006731194969167	0.5334899519194818	-0.08153212078720366	0.6235222045460027	0.5757571360580939	-0.6007881098365153	0.5922006108218887	0.5011110530036875
MOAP1	-0.4880047629095378	-0.8029819981288464	-1.9214176870622146	0.3265808864912098	-1.9241779197814324	-0.864292292487637	0.4917210896111931	-1.030830559080328	-0.6150328189446179
HLA-B	-1.4683689053168982	-1.2614503464503322	-1.510267634714606	-1.173979152512223	-1.0535058532212767	-1.4302726516431572	-1.482966520036879	-1.030830559080328	-1.701939966308892
HLA-B	-1.7455730125366788	-1.2614503464503322	-1.9214176870622146	-1.173979152512223	-0.9137121203929447	-1.1551952412296431	-0.4439830925687773	-0.9577837521245692	-0.8515990108113647
HLA-B	-0.9416916650592696	-1.920721856025539	-1.9214176870622146	-0.22537237419825978	-0.13843216408598719	-0.1732864257838602	-1.8186468584626976	-1.8525163954998194	-1.9159710899475262
HLA-B	-0.3560171908645194	-0.20105909992387172	-0.6331770953620516	-1.406953312686963	-1.2928156078933766	-1.9274003973620784	-1.8186468584626976	-1.8525163954998194	-1.115267723413317
HLA-B	0.3369312584081983	0.4564252810704924	0.48528493701634434	0.6012912726579143	0.5241358646790895	0.6165696049681902	0.38159974551054915	0.4869069163828151	0.5574337026568068
HLA-B	-0.5445290588643783	0.029429606188744302	0.3067209354803762	0.2151397670765066	0.005111320536525098	0.08603612811971707	0.03550428826249674	0.014399379258314245	0.1343197377911165
TAP2	1.3203586526186484	1.1858750702730045	1.1697520951619649	1.1385701437013442	1.330786972285934	1.3369004262181559	1.2741223412109346	1.3274287096931272	1.2844727203820085
TAP2	-0.6420266353567193	-1.920721856025539	-1.1856122769718975	-1.0796591494324925	-1.675951743704443	-1.9274003973620784	-1.482966520036879	-1.8525163954998194	-0.49820991314309326
TAP2	0.6035823869593454	0.8956273502375542	0.9967288311889813	0.6752780996642987	0.5566336317622449	0.7792161668472934	0.6607077357270132	0.6160770112128069	0.9071918294360406
TAP2	-0.7036100373956983	-1.920721856025539	-0.7778555849083183	-1.922319508718258	-0.7945994377135934	-1.9274003973620784	-1.332763339215509	-1.9032999944538531	-1.9159710899475262
TAP2	-0.7036100373956983	-1.920721856025539	-0.7778555849083183	-1.922319508718258	-0.7945994377135934	-1.9274003973620784	-1.332763339215509	-1.9032999944538531	-1.9159710899475262
